,base,ftune,ftunernd
332,5.0,6.1162186,4.891037
333,5.0,5.211676,4.5652075
334,5.0,8.874225,4.891037
335,5.0,3.5948346,4.1899223
336,5.0,8.874225,4.891037
337,5.0,6.8889537,4.8910656
338,5.0,7.3075185,4.860027
339,5.0,7.214441,4.872304
340,5.0,4.966558,4.7270985
341,5.0,5.7361016,4.9814477
342,5.0,7.3342066,4.9172363
343,5.0,8.377285,4.891037
344,5.0,8.377285,4.891037
345,5.0,8.874225,4.891037
346,5.0,6.0654845,5.4093056
347,5.0,6.651715,4.8063226
348,5.0,5.206256,4.866982
349,5.0,6.6662335,4.891037
350,5.0,3.7220576,4.6911025
351,5.0,8.874225,4.891037
352,5.0,6.471251,4.757754
353,5.0,4.288487,4.6534605
354,5.0,6.574355,4.8244524
355,5.0,5.992062,4.963844
356,5.0,8.874225,4.891037
357,5.0,3.896734,5.1226377
358,5.0,3.9406726,4.839239
359,5.0,6.6128287,4.8307333
360,5.0,8.377285,4.891037
361,5.0,7.420155,4.8893614
362,5.0,8.377285,4.891037
363,5.0,8.874225,4.891037
364,5.0,3.3045125,4.3335996
365,5.0,7.308042,4.891037
366,5.0,3.1279194,4.576899
367,5.0,6.693254,4.994616
368,5.0,5.3568573,4.851925
369,5.0,4.483498,4.891037
370,5.0,7.1862335,4.891037
371,5.0,7.287414,4.8156633
372,5.0,8.874225,4.891037
373,5.0,3.7122135,4.4011946
374,5.0,8.874225,4.891037
375,5.0,8.221412,4.861291
376,5.0,3.91016,4.5205164
377,5.0,8.874225,4.891037
378,5.0,8.049671,4.891037
379,5.0,6.7358117,4.891037
380,5.0,6.881887,4.718331
381,5.0,2.4762306,4.8050437
382,5.0,8.377285,4.891037
383,5.0,7.1862335,4.891037
384,5.0,6.6662335,4.891037
385,5.0,8.874225,4.891037
386,5.0,7.609944,4.891037
387,5.0,3.396347,4.229364
388,5.0,7.5372624,4.871562
389,5.0,6.8107624,4.891037
390,5.0,6.8202224,4.8368497
391,5.0,8.874225,4.891037
392,5.0,8.799669,4.9604535
393,5.0,3.2940369,4.7573123
394,5.0,5.8090377,4.7900105
395,5.0,6.9805093,4.891037
396,5.0,8.874225,4.891037
397,5.0,8.874225,4.891037
398,5.0,6.891693,4.890899
399,5.0,7.447336,4.891037
400,5.0,5.491168,4.940428
401,5.0,4.9979334,4.890616
402,5.0,1.009331,3.3115425
403,5.0,5.740135,4.966408
404,5.0,8.874225,4.891037
405,5.0,8.019987,4.879621
406,5.0,4.7964187,4.891037
407,5.0,3.7941718,4.763039
408,5.0,3.28249,4.846535
409,5.0,6.8361692,4.8688197
410,5.0,6.5750356,4.8679423
411,5.0,8.874225,4.891037
412,5.0,7.563259,4.890911
413,5.0,8.377285,4.891037
414,5.0,4.3099813,4.930922
415,5.0,4.1892986,4.576949
416,5.0,8.874225,4.891037
417,5.0,8.030596,4.891037
418,5.0,8.34693,4.803752
419,5.0,6.2621865,5.1192145
420,5.0,5.7854877,4.7988243
421,5.0,8.049671,4.891037
422,5.0,8.874225,4.891037
423,5.0,7.045032,4.8854556
424,5.0,7.1846185,4.891037
425,5.0,5.6616793,4.907449
426,5.0,8.874225,4.891037
427,5.0,6.1780114,4.86643
428,5.0,7.113777,4.860033
429,5.0,6.4830713,4.891037
430,5.0,3.7878294,4.28188
431,5.0,7.847122,4.7733245
432,5.0,8.874225,4.891037
433,5.0,8.461571,4.9190907
434,5.0,5.8157644,4.923148
435,5.0,5.7218766,4.7182198
436,5.0,7.077943,4.891037
437,5.0,4.165437,4.3934383
438,5.0,2.1450782,3.774602
439,5.0,5.097989,4.728994
440,5.0,3.6344416,4.422394
441,5.0,3.2291589,4.6596117
442,5.0,7.6869535,4.8807817
443,5.0,7.9403296,4.777125
444,5.0,7.8052607,4.891037
445,5.0,5.3636556,4.8014073
446,5.0,4.684083,4.8608503
447,5.0,4.509085,4.748726
448,5.0,3.9302201,4.891037
449,5.0,8.874225,4.891037
450,5.0,3.9756875,4.3319182
451,5.0,6.7905006,4.8385234
452,5.0,7.077943,4.891037
453,5.0,6.1056123,4.8147745
454,5.0,7.0067134,4.9288797
455,5.0,8.021527,4.891037
456,5.0,8.874225,4.891037
457,5.0,3.3915625,4.531014
458,5.0,8.874225,4.891037
459,5.0,8.874225,4.891037
460,5.0,8.874225,4.891037
461,5.0,7.8052607,4.891037
462,5.0,6.64723,4.8895187
463,5.0,5.973854,4.786535
464,5.0,8.874225,4.891037
465,5.0,3.7796032,4.3397827
466,5.0,5.0101976,4.7569
467,5.0,6.4454565,4.8491864
468,5.0,8.874225,4.891037
469,5.0,5.59386,4.891037
470,5.0,3.782113,4.5796013
471,5.0,7.785578,4.8456674
472,5.0,8.874225,4.891037
473,5.0,6.8795834,4.890931
474,5.0,4.5482683,4.552492
475,5.0,2.1822891,4.4737625
476,5.0,7.741899,4.853777
477,5.0,7.077943,4.891037
478,5.0,8.755514,4.88908
479,5.0,8.874225,4.891037
480,5.0,7.3272977,4.8071675
481,5.0,4.4794517,4.9664183
482,5.0,1.5710716,3.8943691
483,5.0,5.5645146,4.878618
484,5.0,8.994248,4.901319
485,5.0,7.609944,4.891037
486,5.0,5.1671815,4.6561265
487,5.0,7.8052607,4.891037
488,5.0,5.5616283,4.8768435
489,5.0,8.874225,4.891037
490,5.0,7.4300365,4.891037
491,5.0,8.874225,4.891037
492,5.0,7.8052607,4.891037
493,5.0,3.706557,5.0308604
494,5.0,7.8052607,4.891037
495,5.0,8.377285,4.891037
496,5.0,8.004227,4.854525
497,5.0,5.2244563,4.891037
498,5.0,5.4710426,4.6442614
